Name;Description;Date;Priority;Effort;TeamMembers;Comments
Task 344;Something TODO;03.02.2025;7;L;Member 5;
Task 345;DOD: Hallo Welt;20.04.2025;8;XL;Member 1, Member 2;Very easy
Task 346;Long Text;11.03.2025;6;XS;Member 1, Member 2, Member 3;Comment 1
Task 347;New Issue;03.02.2025;8;S;Member 1, Member 4;Comment 1, Comment 2
Task 348;UserStory;30.04.2025;7;L;Member 3, Member 2;Comment1, Comment 3
Task 349;Something TODO;22.02.2025;5;L;Member 1, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 350;DOD: Hallo Welt;29.04.2025;6;XS;Member 1;Very important
Task 351;Long Text;03.05.2025;3;XS;Member 2;
Task 352;New Issue;11.04.2025;3;M;Member 5;Very easy
Task 353;UserStory;10.05.2025;6;XL;Member 1, Member 2;Comment 1
Task 354;Something TODO;28.04.2025;7;XL;Member 1, Member 2, Member 3;Comment 1, Comment 2
Task 355;DOD: Hallo Welt;01.02.2025;7;L;Member 1, Member 4;Comment1, Comment 3
Task 356;Long Text;29.03.2025;3;XS;Member 3, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 357;New Issue;19.02.2025;6;S;Member 1, Member 2;Very important
Task 358;UserStory;25.04.2025;5;M;Member 1;
Task 359;Something TODO;14.02.2025;5;L;Member 2;Very easy
Task 360;DOD: Hallo Welt;06.03.2025;6;XL;Member 5;Comment 1
Task 361;Long Text;25.03.2025;8;XS;Member 1, Member 2;Comment 1, Comment 2
Task 362;New Issue;20.02.2025;8;S;Member 1, Member 2, Member 3;Comment1, Comment 3
Task 363;UserStory;14.03.2025;8;L;Member 1, Member 4;Comment 1, Comment 2, Comment 3, Comment 4
Task 364;;11.02.2025;7;L;Member 3, Member 2;Very important
Task 365;Something TODO;03.03.2025;6;XS;Member 1, Member 2;
Task 366;DOD: Hallo Welt;06.04.2025;10;XS;Member 1;Very easy
Task 367;Long Text;02.03.2025;4;M;Member 2;Comment 1
Task 368;New Issue;25.02.2025;2;XL;Member 5;Comment 1, Comment 2
Task 369;UserStory;08.02.2025;5;XL;Member 1, Member 2;Comment1, Comment 3
Task 370;Something TODO;07.02.2025;11;L;Member 1, Member 2, Member 3;Comment 1, Comment 2, Comment 3, Comment 4
Task 371;DOD: Hallo Welt;26.02.2025;7;XS;Member 1, Member 4;Very important
Task 372;Long Text;09.03.2025;4;S;Member 3, Member 2;
Task 373;New Issue;26.04.2025;6;M;Member 1, Member 2;Very easy
Task 374;UserStory;26.02.2025;8;L;Member 1;Comment 1
Task 375;Something TODO;29.04.2025;5;XL;Member 2;Comment 1, Comment 2
Task 376;DOD: Hallo Welt;26.04.2025;8;XS;Member 5;Comment1, Comment 3
Task 377;Long Text;27.03.2025;5;S;Member 1, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 378;New Issue;03.02.2025;4;L;Member 1, Member 2, Member 3;Very important
Task 379;UserStory;20.04.2025;9;L;Member 1, Member 4;
Task 380;Something TODO;16.04.2025;6;XS;Member 3, Member 2;Very easy
Task 381;DOD: Hallo Welt;05.04.2025;3;XS;Member 1, Member 2;Comment 1
Task 382;Long Text;24.03.2025;5;M;Member 1;Comment 1, Comment 2
Task 383;New Issue;27.04.2025;5;XL;Member 2;Comment1, Comment 3
Task 384;UserStory;12.03.2025;4;XL;Member 5;Comment 1, Comment 2, Comment 3, Comment 4
Task 385;Something TODO;22.04.2025;7;L;Member 1, Member 2;Very important
Task 386;DOD: Hallo Welt;03.05.2025;4;XS;Member 1, Member 2, Member 3;
Task 387;Long Text;16.03.2025;2;S;Member 1, Member 4;Very easy
Task 388;New Issue;11.03.2025;8;M;Member 3, Member 2;Comment 1
Task 389;UserStory;15.04.2025;8;L;Member 1, Member 2;Comment 1, Comment 2
Task 390;;30.04.2025;7;XL;Member 1;Comment1, Comment 3
Task 391;Something TODO;20.03.2025;7;XS;Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 392;DOD: Hallo Welt;06.04.2025;3;S;Member 5;Very important
Task 393;Long Text;27.03.2025;8;L;Member 1, Member 2;
Task 394;New Issue;10.03.2025;5;L;Member 1, Member 2, Member 3;Very easy
Task 395;UserStory;17.03.2025;4;XS;Member 1, Member 4;Comment 1
Task 396;Something TODO;23.04.2025;8;XS;Member 3, Member 2;Comment 1, Comment 2
Task 397;DOD: Hallo Welt;01.03.2025;11;M;Member 1, Member 2;Comment1, Comment 3
Task 398;Long Text;12.02.2025;10;XL;Member 1;Comment 1, Comment 2, Comment 3, Comment 4
Task 399;New Issue;24.03.2025;5;XL;Member 2;Very important
Task 400;UserStory;13.02.2025;3;L;Member 5;
Task 401;Something TODO;08.02.2025;9;XS;Member 1, Member 2;Very easy
Task 402;DOD: Hallo Welt;14.04.2025;7;S;Member 1, Member 2, Member 3;Comment 1
Task 403;Long Text;16.04.2025;11;M;Member 1, Member 4;Comment 1, Comment 2
Task 404;New Issue;07.05.2025;10;L;Member 3, Member 2;Comment1, Comment 3
Task 405;UserStory;18.02.2025;4;XL;Member 1, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 406;Something TODO;04.02.2025;8;XS;Member 1;Very important
Task 407;DOD: Hallo Welt;09.05.2025;4;S;Member 2;
Task 408;Long Text;17.02.2025;2;L;Member 5;Very easy
Task 409;New Issue;28.02.2025;7;L;Member 1, Member 2;Comment 1
Task 410;UserStory;06.05.2025;3;XS;Member 1, Member 2, Member 3;Comment 1, Comment 2
Task 411;Something TODO;21.04.2025;6;XS;Member 1, Member 4;Comment1, Comment 3
Task 412;DOD: Hallo Welt;29.04.2025;10;M;Member 3, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 413;Long Text;01.05.2025;10;XL;Member 1, Member 2;Very important
Task 414;New Issue;12.04.2025;11;XL;Member 1;
Task 415;UserStory;14.03.2025;6;L;Member 2;Very easy
Task 416;;05.04.2025;5;XS;Member 5;Comment 1
Task 417;;22.03.2025;6;S;Member 1, Member 2;Comment 1, Comment 2
Task 418;;24.03.2025;5;M;Member 1, Member 2, Member 3;Comment1, Comment 3
Task 419;;19.04.2025;7;L;Member 1, Member 4;Comment 1, Comment 2, Comment 3, Comment 4
Task 420;;13.03.2025;7;XL;Member 3, Member 2;Very important
Task 421;;25.03.2025;6;XS;Member 1, Member 2;
Task 422;;05.04.2025;5;S;Member 1;Very easy
Task 423;;08.05.2025;4;L;Member 2;Comment 1
Task 424;;07.02.2025;10;L;Member 5;Comment 1, Comment 2
Task 425;;04.04.2025;9;XS;Member 1, Member 2;Comment1, Comment 3
Task 426;;23.03.2025;2;XS;Member 1, Member 2, Member 3;Comment 1, Comment 2, Comment 3, Comment 4
Task 427;;02.03.2025;6;M;Member 1, Member 4;Very important
Task 428;;24.04.2025;5;XL;Member 3, Member 2;
Task 429;;22.02.2025;10;XL;Member 1, Member 2;Very easy
Task 430;;01.03.2025;6;L;Member 1;Comment 1
Task 431;;01.04.2025;3;XS;Member 2;Comment 1, Comment 2
Task 432;;06.02.2025;2;S;Member 5;Comment1, Comment 3
Task 433;;01.05.2025;7;M;Member 1, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 434;;08.02.2025;7;L;Member 1, Member 2, Member 3;Very important
Task 435;;15.03.2025;7;XL;Member 1, Member 4;
Task 436;;09.04.2025;4;XS;Member 3, Member 2;Very easy
Task 437;;28.02.2025;5;S;Member 1, Member 2;Comment 1
Task 438;;09.04.2025;4;L;Member 1;Comment 1, Comment 2
Task 439;;01.04.2025;4;L;Member 2;Comment1, Comment 3
Task 440;;09.03.2025;2;XS;Member 5;Comment 1, Comment 2, Comment 3, Comment 4
Task 441;;28.03.2025;3;XS;Member 1, Member 2;Very important
Task 442;;10.03.2025;3;M;Member 1, Member 2, Member 3;
Task 443;;02.03.2025;3;XL;Member 1, Member 4;Very easy
Task 444;;20.02.2025;3;XL;Member 3, Member 2;Comment 1
Task 445;;08.04.2025;3;L;Member 1, Member 2;Comment 1, Comment 2
Task 446;;04.04.2025;7;XS;Member 1;Comment1, Comment 3
Task 447;;20.02.2025;6;S;Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 448;;12.02.2025;9;M;Member 5;Very important
Task 449;;04.02.2025;7;L;Member 1, Member 2;
Task 450;;01.02.2025;4;XL;Member 1, Member 2, Member 3;Very easy
Task 451;;02.05.2025;6;XS;Member 1, Member 4;Comment 1
Task 452;;28.04.2025;11;S;Member 3, Member 2;Comment 1, Comment 2
Task 453;;12.02.2025;2;L;Member 1, Member 2;Comment1, Comment 3
Task 454;;06.03.2025;6;L;Member 1;Comment 1, Comment 2, Comment 3, Comment 4
Task 455;;02.05.2025;9;XS;Member 2;Very important
Task 456;;22.04.2025;4;XS;Member 5;
Task 457;;16.03.2025;8;M;Member 1, Member 2;Very easy
Task 458;;23.04.2025;2;XL;Member 1, Member 2, Member 3;Comment 1
Task 459;;13.04.2025;10;XL;Member 1, Member 4;Comment 1, Comment 2
Task 460;;12.03.2025;11;L;Member 3, Member 2;Comment1, Comment 3
Task 461;;19.02.2025;5;XS;Member 1, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 462;;26.03.2025;11;S;Member 1;Very important
Task 463;;02.04.2025;10;M;Member 2;
Task 464;;27.04.2025;3;L;Member 5;Very easy
Task 465;;25.04.2025;7;XL;Member 1, Member 2;Comment 1
Task 466;;16.04.2025;11;XS;Member 1, Member 2, Member 3;Comment 1, Comment 2
Task 467;;05.05.2025;7;S;Member 1, Member 4;Comment1, Comment 3
Task 468;;06.05.2025;4;L;Member 3, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 469;;17.03.2025;5;L;Member 1, Member 2;Very important
Task 470;;23.03.2025;6;XS;Member 1;
Task 471;;07.05.2025;10;XS;Member 2;Very easy
Task 472;;07.04.2025;10;M;Member 5;Comment 1
Task 473;;01.04.2025;10;XL;Member 1, Member 2;Comment 1, Comment 2
Task 474;;11.03.2025;2;XL;Member 1, Member 2, Member 3;Comment1, Comment 3
Task 475;;06.05.2025;10;L;Member 1, Member 4;Comment 1, Comment 2, Comment 3, Comment 4
Task 476;;26.03.2025;7;XS;Member 3, Member 2;Very important
Task 477;;03.05.2025;4;S;Member 1, Member 2;
Task 478;;02.03.2025;4;M;Member 1;Very easy
Task 479;;30.04.2025;3;L;Member 2;Comment 1
Task 480;;10.03.2025;6;XL;Member 5;Comment 1, Comment 2
Task 481;;10.05.2025;10;XS;Member 1, Member 2;Comment1, Comment 3
Task 482;;08.05.2025;10;S;Member 1, Member 2, Member 3;Comment 1, Comment 2, Comment 3, Comment 4
Task 483;;20.04.2025;9;L;Member 1, Member 4;Very important
Task 484;;26.04.2025;3;L;Member 3, Member 2;
Task 485;;01.02.2025;2;XS;Member 1, Member 2;Very easy
Task 486;;12.04.2025;5;XS;Member 1;Comment 1
Task 487;;01.05.2025;9;M;Member 2;Comment 1, Comment 2
Task 488;;08.04.2025;2;XL;Member 5;Comment1, Comment 3
Task 489;;11.03.2025;10;XL;Member 1, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 490;;20.02.2025;5;L;Member 1, Member 2, Member 3;Very important
Task 491;;22.03.2025;3;XS;Member 1, Member 4;
Task 492;;10.02.2025;3;S;Member 3, Member 2;Very easy
Task 493;;17.02.2025;9;M;Member 1, Member 2;Comment 1
Task 494;;13.04.2025;3;L;Member 1;Comment 1, Comment 2
Task 495;;24.02.2025;4;XL;Member 2;Comment1, Comment 3
Task 496;;02.04.2025;4;XS;Member 5;Comment 1, Comment 2, Comment 3, Comment 4
Task 497;;08.03.2025;8;S;Member 1, Member 2;Very important
Task 498;;18.04.2025;2;L;Member 1, Member 2, Member 3;
Task 499;;11.02.2025;9;L;Member 1, Member 4;Very easy
Task 500;;25.03.2025;8;XS;Member 3, Member 2;Comment 1
Task 501;;29.03.2025;7;XS;Member 1, Member 2;Comment 1, Comment 2
Task 502;;11.02.2025;7;M;Member 1;Comment1, Comment 3
Task 503;;10.05.2025;8;XL;Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 504;;11.02.2025;3;XL;Member 5;Very important
Task 505;;27.03.2025;7;L;Member 1, Member 2;
Task 506;;01.02.2025;8;XS;Member 1, Member 2, Member 3;Very easy
Task 507;;30.04.2025;7;S;Member 1, Member 4;Comment 1
Task 508;;18.02.2025;9;M;Member 3, Member 2;Comment 1, Comment 2
Task 509;;04.03.2025;5;L;Member 1, Member 2;Comment1, Comment 3
Task 510;;09.04.2025;8;XL;Member 1;Comment 1, Comment 2, Comment 3, Comment 4
Task 511;;02.03.2025;7;XS;Member 2;Very important
Task 512;;08.05.2025;6;S;Member 5;
Task 513;;05.02.2025;5;L;Member 1, Member 2;Very easy
Task 514;;10.02.2025;10;L;Member 1, Member 2, Member 3;Comment 1
Task 515;;19.04.2025;2;XS;Member 1, Member 4;Comment 1, Comment 2
Task 516;;04.05.2025;8;XS;Member 3, Member 2;Comment1, Comment 3
Task 517;;05.03.2025;10;M;Member 1, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 518;;22.03.2025;3;XL;Member 1;Very important
Task 519;;06.05.2025;5;XL;Member 2;
Task 520;;24.02.2025;9;L;Member 5;Very easy
Task 521;;06.02.2025;10;XS;Member 1, Member 2;Comment 1
Task 522;;10.05.2025;11;S;Member 1, Member 2, Member 3;Comment 1, Comment 2
Task 523;;10.02.2025;6;M;Member 1, Member 4;Comment1, Comment 3
Task 524;;20.04.2025;6;L;Member 3, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 525;;05.02.2025;9;XL;Member 1, Member 2;Very important
Task 526;;15.03.2025;5;XS;Member 1;
Task 527;;17.04.2025;6;S;Member 2;Very easy
Task 528;;10.04.2025;3;L;Member 5;Comment 1
Task 529;;19.02.2025;9;L;Member 1, Member 2;Comment 1, Comment 2
Task 530;;21.03.2025;10;XS;Member 1, Member 2, Member 3;Comment1, Comment 3
Task 531;;04.03.2025;6;XS;Member 1, Member 4;Comment 1, Comment 2, Comment 3, Comment 4
Task 532;;05.02.2025;3;M;Member 3, Member 2;Very important
Task 533;;28.04.2025;7;XL;Member 1, Member 2;
Task 534;;08.02.2025;2;XL;Member 1;Very easy
Task 535;;16.04.2025;10;L;Member 2;Comment 1
Task 536;;20.04.2025;2;XS;Member 5;Comment 1, Comment 2
Task 537;;06.04.2025;4;S;Member 1, Member 2;Comment1, Comment 3
Task 538;;07.04.2025;7;M;Member 1, Member 2, Member 3;Comment 1, Comment 2, Comment 3, Comment 4
Task 539;;04.02.2025;9;L;Member 1, Member 4;Very important
Task 540;;05.02.2025;3;XL;Member 3, Member 2;
Task 541;;12.04.2025;3;XS;Member 1, Member 2;Very easy
Task 542;;26.02.2025;11;S;Member 1;Comment 1
Task 543;;05.05.2025;10;L;Member 2;Comment 1, Comment 2
Task 544;;21.03.2025;10;L;Member 5;Comment1, Comment 3
Task 545;;05.04.2025;4;XS;Member 1, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 546;;21.02.2025;6;XS;Member 1, Member 2, Member 3;Very important
Task 547;;14.02.2025;4;M;Member 1, Member 4;
Task 548;;19.04.2025;3;XL;Member 3, Member 2;Very easy
Task 549;;18.04.2025;11;XL;Member 1, Member 2;Comment 1
Task 550;;07.04.2025;3;L;Member 1;Comment 1, Comment 2
Task 551;;26.04.2025;5;XS;Member 2;Comment1, Comment 3
Task 552;;14.03.2025;8;S;Member 5;Comment 1, Comment 2, Comment 3, Comment 4
Task 553;;16.04.2025;5;M;Member 1, Member 2;Very important
Task 554;;14.04.2025;3;L;Member 1, Member 2, Member 3;
Task 555;;01.03.2025;7;XL;Member 1, Member 4;Very easy
Task 556;;05.02.2025;11;XS;Member 3, Member 2;Comment 1
Task 557;;08.02.2025;10;S;Member 1, Member 2;Comment 1, Comment 2
Task 558;;07.02.2025;6;L;Member 1;Comment1, Comment 3
Task 559;;10.02.2025;9;L;Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 560;;17.03.2025;11;XS;Member 5;Very important
Task 561;;22.04.2025;6;XS;Member 1, Member 2;
Task 562;;06.03.2025;6;M;Member 1, Member 2, Member 3;Very easy
Task 563;;21.03.2025;8;XL;Member 1, Member 4;Comment 1
Task 564;;08.03.2025;9;XL;Member 3, Member 2;Comment 1, Comment 2
Task 565;;20.02.2025;9;L;Member 1, Member 2;Comment1, Comment 3
Task 566;;14.02.2025;6;XS;Member 1;Comment 1, Comment 2, Comment 3, Comment 4
Task 567;;31.01.2025;8;S;Member 2;Very important
Task 568;;18.04.2025;3;M;Member 5;
Task 569;;23.04.2025;6;L;Member 1, Member 2;Very easy
Task 570;;19.02.2025;10;XL;Member 1, Member 2, Member 3;Comment 1
Task 571;;12.02.2025;3;XS;Member 1, Member 4;Comment 1, Comment 2
Task 572;;20.02.2025;6;S;Member 3, Member 2;Comment1, Comment 3
Task 573;;03.04.2025;5;L;Member 1, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 574;;15.04.2025;5;L;Member 1;Very important
Task 575;;04.04.2025;6;XS;Member 2;
Task 576;;15.04.2025;4;XS;Member 5;Very easy
Task 577;;01.03.2025;6;M;Member 1, Member 2;Comment 1
Task 578;;08.03.2025;2;XL;Member 1, Member 2, Member 3;Comment 1, Comment 2
Task 579;;23.02.2025;9;XL;Member 1, Member 4;Comment1, Comment 3
Task 580;;05.02.2025;9;L;Member 3, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 581;;02.05.2025;7;XS;Member 1, Member 2;Very important
Task 582;;27.02.2025;9;S;Member 1;
Task 583;;10.02.2025;8;M;Member 2;Very easy
Task 584;;01.03.2025;3;L;Member 5;Comment 1
Task 585;;20.03.2025;9;XL;Member 1, Member 2;Comment 1, Comment 2
Task 586;;23.03.2025;10;XS;Member 1, Member 2, Member 3;Comment1, Comment 3
Task 587;;29.03.2025;7;S;Member 1, Member 4;Comment 1, Comment 2, Comment 3, Comment 4
Task 588;;16.04.2025;3;L;Member 3, Member 2;Very important
Task 589;;10.03.2025;6;L;Member 1, Member 2;
Task 590;;12.04.2025;4;XS;Member 1;Very easy
Task 591;;10.03.2025;5;XS;Member 2;Comment 1
Task 592;;05.03.2025;5;M;Member 5;Comment 1, Comment 2
Task 593;;27.04.2025;8;XL;Member 1, Member 2;Comment1, Comment 3
Task 594;;21.03.2025;5;XL;Member 1, Member 2, Member 3;Comment 1, Comment 2, Comment 3, Comment 4
Task 595;;11.04.2025;6;L;Member 1, Member 4;Very important
Task 596;;20.03.2025;5;XS;Member 3, Member 2;
Task 597;;25.02.2025;4;S;Member 1, Member 2;Very easy
Task 598;;13.04.2025;4;M;Member 1;Comment 1
Task 599;;26.03.2025;3;L;Member 2;Comment 1, Comment 2
Task 600;;11.03.2025;5;XL;Member 5;Comment1, Comment 3
Task 601;;04.03.2025;5;XS;Member 1, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 602;;17.02.2025;4;S;Member 1, Member 2, Member 3;Very important
Task 603;;25.02.2025;6;L;Member 1, Member 4;
Task 604;;05.03.2025;3;L;Member 3, Member 2;Very easy
Task 605;;08.03.2025;9;XS;Member 1, Member 2;Comment 1
Task 606;;19.04.2025;6;XS;Member 1;Comment 1, Comment 2
Task 607;;16.04.2025;10;M;Member 2;Comment1, Comment 3
Task 608;;03.04.2025;5;XL;Member 5;Comment 1, Comment 2, Comment 3, Comment 4
Task 609;;11.03.2025;3;XL;Member 1, Member 2;Very important
Task 610;;01.05.2025;2;L;Member 1, Member 2, Member 3;
Task 611;;07.03.2025;5;XS;Member 1, Member 4;Very easy
Task 612;;20.03.2025;11;S;Member 3, Member 2;Comment 1
Task 613;;19.04.2025;10;M;Member 1, Member 2;Comment 1, Comment 2
Task 614;;24.04.2025;6;L;Member 1;Comment1, Comment 3
Task 615;;17.04.2025;3;XL;Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 616;;24.02.2025;10;XS;Member 5;Very important
Task 617;;03.02.2025;7;S;Member 1, Member 2;
Task 618;;10.03.2025;3;L;Member 1, Member 2, Member 3;Very easy
Task 619;;14.03.2025;8;L;Member 1, Member 4;Comment 1
Task 620;;02.03.2025;9;XS;Member 3, Member 2;Comment 1, Comment 2
Task 621;;07.02.2025;9;XS;Member 1, Member 2;Comment1, Comment 3
Task 622;;25.03.2025;7;M;Member 1;Comment 1, Comment 2, Comment 3, Comment 4
Task 623;;23.04.2025;3;XL;Member 2;Very important
Task 624;;15.03.2025;9;XL;Member 5;
Task 625;;19.02.2025;7;L;Member 1, Member 2;Very easy
Task 626;;06.02.2025;6;XS;Member 1, Member 2, Member 3;Comment 1
Task 627;;09.05.2025;7;S;Member 1, Member 4;Comment 1, Comment 2
Task 628;;31.01.2025;8;M;Member 3, Member 2;Comment1, Comment 3
Task 629;;21.03.2025;4;L;Member 1, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 630;;08.04.2025;11;XL;Member 1;Very important
Task 631;;21.03.2025;11;XS;Member 2;
Task 632;;22.03.2025;5;S;Member 5;Very easy
Task 633;;15.02.2025;6;L;Member 1, Member 2;Comment 1
Task 634;;28.03.2025;4;L;Member 1, Member 2, Member 3;Comment 1, Comment 2
Task 635;;31.03.2025;9;XS;Member 1, Member 4;Comment1, Comment 3
Task 636;;31.03.2025;4;XS;Member 3, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 637;;09.05.2025;5;M;Member 1, Member 2;Very important
Task 638;;25.02.2025;9;XL;Member 1;
Task 639;;29.04.2025;7;XL;Member 2;Very easy
Task 640;;15.03.2025;8;L;Member 5;Comment 1
Task 641;;28.04.2025;8;XS;Member 1, Member 2;Comment 1, Comment 2
Task 642;;10.05.2025;7;S;Member 1, Member 2, Member 3;Comment1, Comment 3
Task 643;;01.04.2025;9;M;Member 1, Member 4;Comment 1, Comment 2, Comment 3, Comment 4
Task 644;;24.03.2025;7;L;Member 3, Member 2;Very important
Task 645;;18.03.2025;6;XL;Member 1, Member 2;
Task 646;;22.02.2025;10;XS;Member 1;Very easy
Task 647;;26.03.2025;6;S;Member 2;Comment 1
Task 648;;23.03.2025;5;L;Member 5;Comment 1, Comment 2
Task 649;;11.04.2025;4;L;Member 1, Member 2;Comment1, Comment 3
Task 650;;30.04.2025;7;XS;Member 1, Member 2, Member 3;Comment 1, Comment 2, Comment 3, Comment 4
Task 651;;10.02.2025;9;XS;Member 1, Member 4;Very important
Task 652;;01.03.2025;11;M;Member 3, Member 2;
Task 653;;09.05.2025;11;XL;Member 1, Member 2;Very easy
Task 654;;05.03.2025;4;XL;Member 1;Comment 1
Task 655;;08.03.2025;4;L;Member 2;Comment 1, Comment 2
Task 656;;15.03.2025;11;XS;Member 5;Comment1, Comment 3
Task 657;;24.03.2025;7;S;Member 1, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 658;;10.05.2025;3;M;Member 1, Member 2, Member 3;Very important
Task 659;;19.02.2025;9;L;Member 1, Member 4;
Task 660;;09.05.2025;3;XL;Member 3, Member 2;Very easy
Task 661;;28.03.2025;6;XS;Member 1, Member 2;Comment 1
Task 662;;06.02.2025;6;S;Member 1;Comment 1, Comment 2
Task 663;;02.05.2025;8;L;Member 2;Comment1, Comment 3
Task 664;;13.03.2025;8;L;Member 5;Comment 1, Comment 2, Comment 3, Comment 4
Task 665;;12.03.2025;8;XS;Member 1, Member 2;Very important
Task 666;;26.02.2025;9;XS;Member 1, Member 2, Member 3;
Task 667;;24.02.2025;11;M;Member 1, Member 4;Very easy
Task 668;;29.03.2025;10;XL;Member 3, Member 2;Comment 1
Task 669;;25.03.2025;3;XL;Member 1, Member 2;Comment 1, Comment 2
Task 670;;05.04.2025;4;L;Member 1;Comment1, Comment 3
Task 671;;13.03.2025;9;XS;Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 672;;16.04.2025;7;S;Member 5;Very important
Task 673;;06.02.2025;7;M;Member 1, Member 2;
Task 674;;01.03.2025;2;L;Member 1, Member 2, Member 3;Very easy
Task 675;;13.02.2025;10;XL;Member 1, Member 4;Comment 1
Task 676;;13.02.2025;10;XS;Member 3, Member 2;Comment 1, Comment 2
Task 677;;18.02.2025;10;S;Member 1, Member 2;Comment1, Comment 3
Task 678;;03.05.2025;8;L;Member 1;Comment 1, Comment 2, Comment 3, Comment 4
Task 679;;30.04.2025;6;L;Member 2;Very important
Task 680;;02.05.2025;7;XS;Member 5;
Task 681;;13.03.2025;3;XS;Member 1, Member 2;Very easy
Task 682;;27.04.2025;6;M;Member 1, Member 2, Member 3;Comment 1
Task 683;;12.04.2025;7;XL;Member 1, Member 4;Comment 1, Comment 2
Task 684;;05.03.2025;3;XL;Member 3, Member 2;Comment1, Comment 3
Task 685;;30.04.2025;7;L;Member 1, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 686;;10.03.2025;10;XS;Member 1;Very important
Task 687;;02.04.2025;4;S;Member 2;
Task 688;;04.05.2025;6;M;Member 5;Very easy
Task 689;;20.02.2025;9;L;Member 1, Member 2;Comment 1
Task 690;;25.04.2025;9;XL;Member 1, Member 2, Member 3;Comment 1, Comment 2
Task 691;;20.03.2025;2;XS;Member 1, Member 4;Comment1, Comment 3
Task 692;;10.03.2025;7;S;Member 3, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 693;;01.03.2025;7;L;Member 1, Member 2;Very important
Task 694;;08.03.2025;5;L;Member 1;
Task 695;;19.03.2025;4;XS;Member 2;Very easy
Task 696;;07.04.2025;4;XS;Member 5;Comment 1
Task 697;;03.04.2025;3;M;Member 1, Member 2;Comment 1, Comment 2
Task 698;;23.02.2025;5;XL;Member 1, Member 2, Member 3;Comment1, Comment 3
Task 699;;02.05.2025;8;XL;Member 1, Member 4;Comment 1, Comment 2, Comment 3, Comment 4
Task 700;;10.03.2025;7;L;Member 3, Member 2;Very important
Task 701;;06.04.2025;6;XS;Member 1, Member 2;
Task 702;;09.04.2025;10;S;Member 1;Very easy
Task 703;;27.04.2025;4;M;Member 2;Comment 1
Task 704;;12.03.2025;11;L;Member 5;Comment 1, Comment 2
Task 705;;27.04.2025;9;XL;Member 1, Member 2;Comment1, Comment 3
Task 706;;19.03.2025;7;XS;Member 1, Member 2, Member 3;Comment 1, Comment 2, Comment 3, Comment 4
Task 707;;01.03.2025;7;S;Member 1, Member 4;Very important
Task 708;;25.03.2025;6;L;Member 3, Member 2;
Task 709;;06.04.2025;2;L;Member 1, Member 2;Very easy
Task 710;;02.04.2025;6;XS;Member 1;Comment 1
Task 711;;18.02.2025;4;XS;Member 2;Comment 1, Comment 2
Task 712;;19.02.2025;8;M;Member 5;Comment1, Comment 3
Task 713;;19.04.2025;4;XL;Member 1, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 714;;25.04.2025;6;XL;Member 1, Member 2, Member 3;Very important
Task 715;;20.02.2025;2;L;Member 1, Member 4;
Task 716;;01.03.2025;4;XS;Member 3, Member 2;Very easy
Task 717;;22.04.2025;3;S;Member 1, Member 2;Comment 1
Task 718;;06.05.2025;4;M;Member 1;Comment 1, Comment 2
Task 719;;01.05.2025;7;L;Member 2;Comment1, Comment 3
Task 720;;05.04.2025;2;XL;Member 5;Comment 1, Comment 2, Comment 3, Comment 4
Task 721;;17.03.2025;2;XS;Member 1, Member 2;Very important
Task 722;;02.04.2025;6;S;Member 1, Member 2, Member 3;
Task 723;;14.03.2025;8;L;Member 1, Member 4;Very easy
Task 724;;07.03.2025;8;L;Member 3, Member 2;Comment 1
Task 725;;14.03.2025;10;XS;Member 1, Member 2;Comment 1, Comment 2
Task 726;;28.04.2025;7;XS;Member 1;Comment1, Comment 3
Task 727;;25.02.2025;8;M;Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 728;;22.02.2025;3;XL;Member 5;Very important
